PERMNO,date,RET
86457,2012-12-31,-0.003857
86457,2013-01-31,0.019064
86457,2013-02-28,0.007823
86457,2013-03-28,0.025796
86457,2013-04-30,0.017509
86457,2013-05-31,0.027922
86457,2013-06-28,-0.029070
86457,2013-07-31,0.037437
86457,2013-08-30,-0.010400
86457,2013-09-30,0.025425
86457,2013-10-31,0.050250
86457,2013-11-29,0.030906
86457,2013-12-31,0.035206
86457,2014-01-31,-0.025742
86457,2014-02-28,0.043940
86457,2014-03-31,0.004328
86457,2014-04-30,0.002751
86457,2014-05-30,0.037586
86457,2014-06-30,0.018668
86457,2014-07-31,0.016949
86457,2014-08-29,0.032820
86457,2014-09-30,-0.005120
86457,2014-10-31,0.016040
86457,2014-11-28,0.048101
86457,2014-12-31,-0.021735
86457,2015-01-30,-0.035066
86457,2015-02-27,0.079950
86457,2015-03-31,-0.034267
86457,2015-04-30,0.027510
86457,2015-05-29,0.018553
86457,2015-06-30,-0.040975
86457,2015-07-31,0.028502
86457,2015-08-31,-0.055190
86457,2015-09-30,-0.013586
86457,2015-10-30,0.105063
86457,2015-11-30,0.007102
86457,2015-12-31,-0.020794
86457,2016-01-29,-0.037124
86457,2016-02-29,-0.006547
86457,2016-03-31,0.088119
86457,2016-04-29,-0.050271
86457,2016-05-31,0.048896
86457,2016-06-30,-0.013774
86457,2016-07-29,0.071017
86457,2016-08-31,0.011625
86457,2016-09-30,0.020974
86457,2016-10-31,-0.007535
86457,2016-11-30,0.001687
86457,2016-12-30,0.022658
86457,2017-01-31,0.035567
86457,2017-02-28,0.045327
86457,2017-03-31,0.022259
86457,2017-04-28,0.020071
86457,2017-05-31,0.039537
86457,2017-06-30,-0.028067
86457,2017-07-31,0.044591
86457,2017-08-31,0.029216
86457,2017-09-29,0.008146
86457,2017-10-31,0.065144
86457,2017-11-30,0.014138
86457,2017-12-29,0.005455
86457,2018-01-31,0.070367
86457,2018-02-28,-0.004091
86457,2018-03-29,-0.037146
86457,2018-04-30,0.000611
86457,2018-05-31,0.067828
86457,2018-06-29,-0.002500
86457,2018-07-31,0.020872
86457,2018-08-31,0.065990
86457,2018-09-28,-0.000207
86457,2018-10-31,-0.080048
86457,2018-11-30,-0.019625
86457,2018-12-31,-0.083823
86457,2019-01-31,0.069377
86457,2019-02-28,0.069101
86457,2019-03-29,0.047606
86457,2019-04-30,0.063649
86457,2019-05-31,-0.086647
86457,2019-06-28,0.089419
86457,2019-07-31,0.034982
86457,2019-08-30,-0.015352
86457,2019-09-30,0.015751
86457,2019-10-31,0.038992
86457,2019-11-29,0.053663
86457,2019-12-31,0.043156
86457,2020-01-31,0.039926
86457,2020-02-28,-0.073010
86457,2020-03-31,-0.086325
86457,2020-04-30,0.137365
86457,2020-05-29,0.071765
86457,2020-06-30,0.069414
86457,2020-07-31,0.056848
86457,2020-08-31,0.118808
86457,2020-09-30,-0.053448
86457,2020-10-30,-0.050043
86457,2020-11-30,0.113837
86457,2020-12-31,0.055374
86457,2021-01-29,-0.008383
86457,2021-02-26,0.013651
86457,2021-03-31,0.018312
86457,2021-04-30,0.051879
86457,2021-05-28,-0.009306
86457,2021-06-30,0.068783
86457,2021-07-30,0.038873
86457,2021-08-31,0.035593
86457,2021-09-30,-0.058335
86457,2021-10-29,0.081771
86457,2021-11-30,0.044512
86457,2021-12-31,0.032400
86457,2022-01-31,-0.068442
86457,2022-02-28,-0.048774
86457,2022-03-31,0.033398
86457,2022-04-29,-0.110174
86457,2022-05-31,-0.006859
86457,2022-06-30,-0.092608
86457,2022-07-29,0.134519
86457,2022-08-31,-0.062127
86457,2022-09-30,-0.119498
86457,2022-10-31,0.076528
86457,2022-11-30,0.063267
86457,2022-12-30,-0.082044
